player_id,session,rows,columns,avg_speed,max_speed,avg_heart_rate,max_heart_rate,total_distance,acceleration_impulse,high_speed_distance
78f2ae2c-caf7-47eb-9e84-521f7820182e,2020-06-01-TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e.parquet,737490,17,1.6945425834804362,6.997228,,,6895.96004,511073.072753,90.368409
78f2ae2c-caf7-47eb-9e84-521f7820182e,2020-06-02-TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e.parquet,719880,17,1.5776863557069072,6.84445,132.5047335264251,187.0,6209.893457,385006.231772,59.023595
78f2ae2c-caf7-47eb-9e84-521f7820182e,2020-06-03-TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e.parquet,803280,17,1.933215543273932,7.502784,138.6743166949886,187.0,9718.434315,498999.453546,540.289916
78f2ae2c-caf7-47eb-9e84-521f7820182e,2020-06-04-TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e.parquet,623890,17,1.3693862120003888,6.741672,,,4328.090624,382144.514195,174.278662
78f2ae2c-caf7-47eb-9e84-521f7820182e,2020-06-05-TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e.parquet,652380,17,1.6415595205073394,7.052783,135.8874479777425,196.0,5780.114986,344643.443858,218.8606
78f2ae2c-caf7-47eb-9e84-521f7820182e,2020-06-06-TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e.parquet,761380,17,1.9118317237705438,7.825006,142.05084946116514,189.0,9009.842545,457608.285693,373.060112
78f2ae2c-caf7-47eb-9e84-521f7820182e,2020-06-08-TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e.parquet,771390,17,1.5909347125294606,6.530561,137.65843461351483,191.0,7578.092747,461524.634102,47.311383
78f2ae2c-caf7-47eb-9e84-521f7820182e,2020-06-09-TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e.parquet,753760,17,1.6095459902849745,7.49445,131.5958314814692,190.0,6915.671981,427362.803512,100.60204
78f2ae2c-caf7-47eb-9e84-521f7820182e,2020-06-10-TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e.parquet,883970,17,1.8579377639286794,7.300006,,,9834.252897,673810.102903,412.948087
78f2ae2c-caf7-47eb-9e84-521f7820182e,2020-06-11-TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e.parquet,504290,17,1.3422113486645835,7.180561,,,3824.352428,354585.676428,148.189602
78f2ae2c-caf7-47eb-9e84-521f7820182e,2020-06-12-TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e.parquet,692890,17,1.5024193359339757,7.622228,,,4580.420614,384850.294285,281.807605
78f2ae2c-caf7-47eb-9e84-521f7820182e,2020-06-13-TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e.parquet,882290,17,1.922573179907276,7.502784,137.21010455923607,192.0,10418.544474,534353.832449,599.118164
78f2ae2c-caf7-47eb-9e84-521f7820182e,2020-06-15-TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e.parquet,1985370,17,1.3424757395717,6.438894,130.07526152176058,185.0,7188.047243,501235.587408,67.333711
78f2ae2c-caf7-47eb-9e84-521f7820182e,2020-06-16-TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e.parquet,823970,17,1.7229832802786211,6.433338,127.81406751582307,186.0,9271.432597,537768.984953,85.325442
78f2ae2c-caf7-47eb-9e84-521f7820182e,2020-06-17-TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e.parquet,756190,17,1.8067556441238715,7.500006,132.94413991470228,189.0,7445.607129,401088.791119,611.649833
78f2ae2c-caf7-47eb-9e84-521f7820182e,2020-06-19-TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e.parquet,498180,17,1.4018469062287477,6.897228,,,3498.248672,311542.058274,70.455007
